NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,DESTINO,FECHA DE ENVÍO,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,CANTIDAD DE CAJAS,COMENTARIOS
C09117,233236,BEST WESTERN PLUS MORELIA,"MORELIA, MCH",10/01/2026,14/01/2026,,TRES GUERRAS,0,0,8,Sin Informacion
C05946,233237,HAMPTON INN CHIHUAHUA (CUUMX),"CHIHUAHUA, CHI",12/01/2026,15/01/2026,,TINY PACK,0,0,34,Sin Informacion
C08899,233238,HOTEL HB,"CORDOBA, VER",10/01/2026,14/01/2026,,TRES GUERRAS,0,0,16,Sin Informacion
C08682,233241,GARDEN INN QUERETARO (QROPI),"QUERETARO, QUE",12/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,0,0,6,Sin Informacion
C07199,233242,CITY EXPRESS NUEVO LAREDO (CENLD),"NUEVO LAREDO, TAM",12/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,0,0,12,Sin Informacion
C07155,233247,CITY PLUS INSURGENTES SUR (CEINS),"CIUDAD DE MÉXICO, DF2",12/01/2026,14/01/2026,00/01/1900,EXXPREZO,0,0,16,Sin Informacion
C07234,233249,CITY JUNIOR CIUDAD DEL CARMEN (CJCME),"CARMEN, CAM",12/01/2026,15/01/2026,00/01/1900,SOLO FACTURA,NA,NA,1,Sin Informacion
C07234,233250,CITY JUNIOR CIUDAD DEL CARMEN (CJCME),"CARMEN, CAM",12/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,0,0,2,Sin Informacion
C05930,233252,HAMPTON INN HERMOSILLO( HMORS),"HERMOSILLO, SON",12/01/2026,15/01/2026,00/01/1900,TINY PACK,0,0,13,Sin Informacion
C03616,233253,BAHIA PRINCIPE,"TULUM, QR",12/01/2026,19/01/2026,00/01/1900,TRES GUERRAS,0,0,20,Sin Informacion
C06459,233254,HOTEL 4 CAMINOS,"NUEVA ITALIA, MCH",12/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,0,0,5,Sin Informacion
C03923,233255,HOTEL MESON DEL VALLE,"JACONA, MCH",12/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,0,0,12,Sin Informacion
C04484,233256,CROWNE PLAZA MONTERREY AEROPUERTO(MTYCP),"MONTERREY, NL",12/01/2026,14/01/2026,00/01/1900,EXXPREZO,0,0,7,Sin Informacion
C09034,233257,COURTYARD BY MARRIOTT CIUDAD DEL CARMEN CAMPECHE,"CIUDAD DEL CARMEN, CAM",12/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,0,0,18,Sin Informacion
C04349,233258,COURTYARD MARRIOT QUERETARO A0093637,"SANTIAGO DE QUERETARO, QUE",12/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,0,0,7,Sin Informacion
C03302,233259,ONE IRAPUATO (1IRTE),"IRAPUATO, GTO",12/01/2026,14/01/2026,00/01/1900,TRES GUERRAS,0,0,2,Sin Informacion
C07427,233260,INSUMOS DEL NORTE,"CD JUAREZ, CHI",12/01/2026,15/01/2026,00/01/1900,TINY PACK,0,0,51,Sin Informacion
C09416,233261,CASA DE LA IAIA,"ORIZABA, VER",12/01/2026,15/01/2026,00/01/1900,TRES GUERRAS,0,0,6,Sin Informacion
C05918,233262,ONE GUADALAJARA EXPO (1GDEX),"GUADALAJARA, JAL",12/01/2026,14/01/2026,00/01/1900,LOCAL,NA,NA,2,Sin Informacion
C00116,233263,HOLIDAY INN GUADALAJARA EXPO (GRUPO HOLA) (GDLMX),"ZAPOPAN, JAL",12/01/2026,14/01/2026,00/01/1900,LOCAL,NA,NA,4,Sin Informacion
