NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,FECHA DE ENVÍO,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,DESTINO,CANTIDAD DE CAJAS,COMENTARIOS
C08700,232176,AUTOHOTEL VILLAVERDE,10/12/2025,TRES GUERRAS,GLZ02735492,1068,14/12/2025,16/12/2025,"VILLAHERMOSA CENTRO, TAB.",12,Sin Incidencias
C08311,232177,AUTO HOTEL COSTA AZUL,09/12/2025,TRES GUERRAS,GLZ02733394,1780,13/12/2025,12/12/2025,"VILLAHERMOSA, TAB.",20,Sin Incidencias
C09496,232178,HOTEL PARAISO EXPRESS,09/12/2025,TRES GUERRAS,GLZ02733405,300,12/12/2025,11/12/2025,"TORREON COAHUILA, COA.",5,Sin Incidencias
C08737,232179,HAMPTON INN CIUDAD VICTORIA (CDJVC),09/12/2025,CASTORES,14270167527,2054,13/12/2025,,"VICTORIA, TAM.",26,Sin Incidencias
C08015,232180,AZUL TALAVERA,09/12/2025,TINY PACK,GD 3458930,425.52,12/12/2025,11/12/2025,"TORREON, COA.",8,Sin Incidencias
C07554,232181,CITY EXPRESS GUAYMAS (CEGYM),09/12/2025,TINY PACK,GDL 42487,135.86,12/12/2025,16/12/2025,"GUAYMAS, SON.",2,Sin Incidencias
C01770,232182,CITY EXPRESS TEPOTZOTLAN (CETPO),09/12/2025,ONE,JALGDL 237782,308.7,11/12/2025,13/12/2025,"TEPOTZOTLAN, MEX.",2,Sin Incidencias
C07215,232184,CITY SUITES ANZURES (CSANZ),09/12/2025,ONE,JALGDL 237776,308.3,11/12/2025,13/12/2025,"CIUDAD DE MEXICO, CMX.",4,Sin Incidencias
C08003,232185,MOTEL LOVE INN,09/12/2025,TRES GUERRAS,GLZ02733423,300,11/12/2025,10/12/2025,"CELAYA, GTO.",5,Sin Incidencias
C03950,232186,HOTEL ALAMEDA CENTRO HISTORICO,09/12/2025,TRES GUERRAS,GLZ02733435,1500,12/12/2025,11/12/2025,"MORELIA, MCH.",25,Sin Incidencias
C09385,232187,HOTEL ESPLENDOR BY WYNDHAM LOS MOCHIS,09/12/2025,TRES GUERRAS,GLZ02733431,2225,13/12/2025,13/12/2025,"AHOME, SIN.",25,Sin Incidencias
C08615,232188,HOLIDAY INN SANTA FE (MEXJC),09/12/2025,ONE,JALGDL 237780,1431,11/12/2025,12/12/2025,"ALVARO OBREGON, CMX.",28,Sin Incidencias
C08856,232190,COMFORT INN LOS CABOS (143191),15/12/2025,TRES GUERRAS,GLZ02742193,494.72,20/12/2025,23/12/2025,"LOS CABOS, BCS.",30,Sin Incidencias
C04370,232191,MICROTEL TOLUCA(TLUMI),09/12/2025,TRES GUERRAS,GLZ02733342,480,11/12/2025,10/12/2025,"TOLUCA, MEX.",8,Sin Incidencias
C01502,232192,MOTEL LA MANSION,09/12/2025,TINY PACK,GD 3458932,983.1,12/12/2025,11/12/2025,"TORREON, COA.",19,Sin Incidencias
C09005,232195,SAMSON WATERS,09/12/2025,SANCHEZ,2838436,407.35,11/12/2025,11/12/2025,"PUERTO VALLARTA, JAL.",5,Sin Incidencias
C08577,232196,ALBOR TAPESTRY COLLECTION BY HILTON (BJXUP),09/12/2025,TRES GUERRAS,GLZ02733347,600,12/12/2025,11/12/2025,"SAN MIGUEL DE ALLENDE, GTO.",10,Sin Incidencias
C08130,232197,HOLIDAY INN RESORT IXTAPA (ZIHHA),09/12/2025,TRES GUERRAS,GLZ02733392,9084.84,13/12/2025,10/12/2025,"ZIHUATANEJO DE AZUETA, GRO.",126,Sin Incidencias
C07216,232202,CITY SUITES QUERETARO (CSQRO),10/12/2025,ONE,JALGDL 237833,308.3,12/12/2025,11/12/2025,"QUERETARO, QUE.",1,Sin Incidencias
C08067,232204,CITY EXPRESS DE LAGOS DE MORENO (CELDM),10/12/2025,TRES GUERRAS,GLZ02735418,400,12/12/2025,15/12/2025,"LAGOS DE MORENO, JAL.",1,Sin Incidencias
C03155,232206,GARZA BLANCA LOS CABOS,12/12/2025,TRES GUERRAS,GLZ02738528,2716.77,17/12/2025,18/12/2025,"SAN JOSE DEL CABO, BCS.",8,Sin Incidencias
